external_id,level,category,intensity,title,text,required_items,item_mode,timer_seconds,risk_tags,avoid_if_tags,collection,review_status,is_enabled,requires_both_opt_in,requires_safeword_check,aftercare_required,safety_level,pose_family,pose_difficulty,space_required,body_load,notes
task_l1_001,1,task,light,Настрой вечера,"Контекст: В этой карточке нет интимных действий. Выполните только пункты из раздела «Порядок».

Порядок: Первый партнер выбирает одно настроение — спокойное, игривое или романтичное — и показывает его одним жестом. Второй повторяет жест и одним предложением говорит, как понял выбранный настрой. Затем поменяйтесь ролями.

Завершение: После выполнения всех пунктов раздела «Порядок» карточка заканчивается. К физическому действию переходите только по новой карточке и новому согласию.",,none,120,,,base_tasks,approved,1,0,0,0,normal,,,,,reviewed self-contained context
task_l1_002,1,task,light,Две минуты без телефонов,"Контекст: В этой карточке нет интимных действий. Выполните только пункты из раздела «Порядок».

Порядок: На две минуты уберите телефоны и говорите только о том, что сейчас приятно и спокойно.

Завершение: После выполнения всех пунктов раздела «Порядок» карточка заканчивается. К физическому действию переходите только по новой карточке и новому согласию.",,none,120,,,base_tasks,approved,1,0,0,0,normal,,,,,reviewed self-contained context
task_l1_003,1,task,light,Мягкое правило,"Контекст: В этой карточке нет интимных действий. Выполните только пункты из раздела «Порядок».

Порядок: Выберите одно правило до конца сегодняшней игры: «медленнее» означает не ускорять движения; «тише» означает говорить спокойным голосом; «больше пауз» означает останавливаться на пять секунд перед сменой действия. Оба вслух подтверждают один вариант. Применяйте правило только к карточкам, где есть соответствующие движения или разговор.

Завершение: После выполнения всех пунктов раздела «Порядок» карточка заканчивается. К физическому действию переходите только по новой карточке и новому согласию.",,none,120,,,base_tasks,approved,1,0,0,0,normal,,,,,reviewed self-contained context
task_l1_004,1,task,light,Три вопроса о вечере,"Контекст: В этой карточке нет интимных действий. Выполните только пункты из раздела «Порядок».

Порядок: Первый партнер задает три вопроса: «Чего сегодня хочется?», «Что сегодня исключаем?» и «Какой темп комфортен?». Второй отвечает, затем партнеры меняются ролями.

Завершение: После выполнения всех пунктов раздела «Порядок» карточка заканчивается. К физическому действию переходите только по новой карточке и новому согласию.",,none,120,,,base_tasks,approved,1,0,0,0,normal,,,,,reviewed self-contained context
task_l1_005,1,task,light,Что сегодня исключить,"Контекст: В этой карточке нет интимных действий. Выполните только пункты из раздела «Порядок».

Порядок: Сядьте рядом и по очереди назовите один точный запрет на сегодня. Выберите пример или сформулируйте свой: «не обсуждаем прошлых партнеров», «не касаемся шеи», «не используем повязку», «не переходим к проникновению». Второй повторяет запрет своими словами, назвавший отвечает «верно» или поправляет формулировку.

Завершение: После выполнения всех пунктов раздела «Порядок» карточка заканчивается. К физическому действию переходите только по новой карточке и новому согласию.",,none,120,,,base_tasks,approved,1,0,0,0,normal,,,,,reviewed self-contained context
task_l1_006,1,task,light,Минута с закрытыми глазами,"Контекст: В этой карточке выполняйте только жест, разговор или прикосновение из раздела «Порядок». Не переходите к сексуальным действиям.

Порядок: Первый партнер называет одно разрешенное нейтральное прикосновение — к кисти, плечу или волосам — и закрывает глаза на минуту. Второй говорит спокойным голосом и использует только выбранное прикосновение. Затем поменяйтесь ролями.

Завершение: По сигналу таймера полностью прекратите все действия, перечисленные в разделе «Порядок», и разомкните контакт. Каждый отвечает одним вариантом: «было комфортно», «нужно изменить» или «на сегодня не повторять».",,none,120,,,base_tasks,approved,1,0,0,0,normal,,,,,reviewed self-contained context
task_l1_007,1,task,light,Спокойный массаж,"Контекст: В этой карточке выполняйте только жест, разговор или прикосновение из раздела «Порядок». Не переходите к сексуальным действиям.

Порядок: Принимающий выбирает один участок: плечи, кисти или верх спины. Второй массирует только этот участок медленными движениями до таймера; принимающий один раз выбирает силу словами «легче», «так же» или «сильнее».

Завершение: По сигналу таймера полностью прекратите все действия, перечисленные в разделе «Порядок», и разомкните контакт. Каждый отвечает одним вариантом: «было комфортно», «нужно изменить» или «на сегодня не повторять».",,none,120,,,base_tasks,approved,1,0,0,0,normal,,,,,reviewed self-contained context
task_l1_008,1,task,light,Три фразы для расслабления,"Контекст: В этой карточке нет интимных действий. Выполните только пункты из раздела «Порядок».

Порядок: Первый партнер по очереди произносит три точные фразы: «Мне нравится в тебе ...», «Сейчас я чувствую себя спокойно, потому что ...» и «Без спешки можно ...» — последнюю фразу завершите одним вариантом: держаться за руки, обняться или поцеловаться. Затем второй произносит свои три завершенные фразы.

Завершение: После выполнения всех пунктов раздела «Порядок» карточка заканчивается. К физическому действию переходите только по новой карточке и новому согласию.",,none,120,,,base_tasks,approved,1,0,0,0,normal,,,,,reviewed self-contained context
task_l1_009,1,task,light,Сигнал взглядом,"Контекст: В этой карточке выполняйте только жест, разговор или прикосновение из раздела «Порядок». Не переходите к сексуальным действиям.

Порядок: Выберите одно нейтральное действие — взять за руку, обнять или поцеловать. Перед каждым повторением установите зрительный контакт, спросите «можно?» и дождитесь ясного «да». Продолжайте до таймера.

Завершение: По сигналу таймера полностью прекратите все действия, перечисленные в разделе «Порядок», и разомкните контакт. Каждый отвечает одним вариантом: «было комфортно», «нужно изменить» или «на сегодня не повторять».",,none,120,,,base_tasks,approved,1,0,0,0,normal,,,,,reviewed self-contained context
task_l1_010,1,task,light,Сигнал паузы,"Контекст: В этой карточке нет интимных действий. Выполните только пункты из раздела «Порядок».

Порядок: Выберите один сигнал короткой паузы: слово «медленнее» либо поднятая открытая ладонь. Каждый показывает или произносит сигнал один раз; второй отвечает «понял». Стоп-слово при этом не меняется и завершает действие полностью.

Завершение: После выполнения всех пунктов раздела «Порядок» карточка заканчивается. К физическому действию переходите только по новой карточке и новому согласию.",,none,120,,,base_tasks,approved,1,0,0,0,normal,,,,,reviewed self-contained context
